用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U2741,梁建承,P76012,抱枕,家居,1803.17,2024-01-05 05:01:14,3,5409.51,广州,男,50
U9266,屈达清,P12526,抱枕,家居,2511.82,2024-06-11 07:37:44,2,5023.64,上海,女,40
U5992,范博福,P68414,牛仔裤,服装,263.34,2024-04-15 09:37:21,1,263.34,广州,男,38
U5090,丁和志,P58951,时尚杂志,书籍,342.74,2024-08-26 08:03:08,4,1370.96,成都,男,45
U8221,屈豪,P24427,变形金刚,玩具,245.55,2024-09-28 19:40:11,2,491.1,杭州,男,63
U5983,项风保,P81046,面霜,美妆,179.56,2024-07-10 18:25:34,3,538.68,广州,女,56
U6428,皮峰震,P40184,毛绒玩具,玩具,649.46,2024-01-18 21:53:05,4,2597.84,成都,女,65
U1833,梅伯之,P83351,充电宝,电子产品,6873.11,2024-05-26 23:36:31,3,20619.33,武汉,男,49
U1715,崔善振,P52016,台灯,家居,3220.17,2024-11-12 02:27:49,3,9660.51,苏州,女,65
U8261,童心奇,P68681,T恤,服装,129.82,2024-04-28 06:08:20,4,519.28,深圳,男,56
U7624,郝永承,P40185,跑步鞋,运动,723.46,2024-12-11 02:48:00,3,2170.38,上海,女,43
U2423,禹奇朗,P69941,时尚杂志,书籍,353.04,2024-09-15 08:52:40,4,1412.16,北京,男,30
U3034,元广厚,P50169,四件套,家居,4395.76,2024-06-24 12:56:10,4,17583.04,武汉,女,27
U4528,沈中绍,P59115,沙发,家居,900.52,2024-02-03 02:01:19,4,3602.08,西安,男,60
U2024,郭发世,P90314,拼图,玩具,501.19,2024-06-15 03:45:03,1,501.19,深圳,男,62
U2774,顾山昌,P51864,羽毛球拍,运动,535.65,2024-06-27 16:52:17,3,1606.95,北京,女,28
U7925,方启海,P29754,时尚杂志,书籍,320.29,2024-03-25 05:47:35,3,960.87,南京,男,33
U8984,毛琛,P46774,智能手机,电子产品,3133.6,2024-08-01 11:08:41,5,15668.0,深圳,男,49
U7443,祁宏善,P55786,心理学,书籍,829.76,2024-09-01 17:38:57,3,2489.28,广州,女,38
U8785,杨健若,P52520,显示器,电子产品,9584.87,2024-04-22 05:45:12,5,47924.35,北京,男,56
U6445,钮健盛,P88040,科幻小说,书籍,42.98,2024-09-27 12:55:51,5,214.9,深圳,女,61
U6786,秦诚言,P24977,沙发,家居,808.68,2024-09-30 07:38:19,1,808.68,杭州,女,50
U9247,朱保俊,P10974,科幻小说,书籍,362.32,2024-02-26 19:47:43,1,362.32,深圳,男,37
U4174,屈诚民,P56981,卫衣,服装,153.14,2024-01-06 21:51:19,1,153.14,武汉,女,32
U1915,柏敬强,P40334,羽毛球拍,运动,394.64,2024-11-20 10:23:02,5,1973.2,苏州,男,49
U2677,岑全雄,P26800,卫衣,服装,120.66,2024-05-12 16:38:51,3,361.98,天津,男,63
U3170,舒东胜,P61147,篮球,运动,507.51,2024-10-02 23:30:53,1,507.51,重庆,男,39
U3759,范榕辉,P86521,平板电脑,电子产品,4072.45,2024-04-13 08:10:01,1,4072.45,深圳,女,57
U9272,雷盛乐,P84220,粉底液,美妆,935.23,2024-09-16 18:27:40,5,4676.15,深圳,女,50
U8175,时仁,P55588,运动鞋,服装,168.22,2024-09-28 06:58:27,1,168.22,西安,男,45
U4240,卜以致,P40276,香水,美妆,551.04,2024-10-21 01:01:18,4,2204.16,深圳,男,34
U2649,支生光,P70864,收纳盒,家居,4562.53,2024-09-10 22:25:11,2,9125.06,南京,男,62
U4168,唐祥,P80742,山地车,运动,108.63,2024-11-13 17:33:54,4,434.52,杭州,女,57
U8031,左钧以,P53751,沙发,家居,3381.43,2024-11-19 02:23:52,4,13525.72,天津,女,56
U8852,祝峰琛,P85076,哑铃,运动,162.5,2024-05-24 12:46:17,3,487.5,北京,女,62
U4384,施晨,P92646,历史书籍,书籍,236.27,2024-03-04 09:28:48,4,945.08,上海,男,31
U7089,郑旭,P91454,芭比娃娃,玩具,327.02,2024-07-08 23:51:56,4,1308.08,上海,男,43
U6222,梅林子,P88657,夹克,服装,705.5,2024-05-20 23:39:32,1,705.5,重庆,女,19
U4008,伏富,P66837,平板电脑,电子产品,1944.44,2024-04-26 15:40:45,2,3888.88,深圳,女,28
U2114,虞震国,P41430,化妆刷套装,美妆,585.81,2024-07-16 08:03:05,2,1171.62,上海,男,40
U6070,昝盛茂,P36373,蓝牙耳机,电子产品,3234.75,2024-07-01 09:37:17,3,9704.25,苏州,女,35
U9374,吕心,P26490,乐高积木,玩具,517.11,2024-05-21 12:23:58,4,2068.44,天津,男,20
U5713,姚泰,P40955,心理学,书籍,329.74,2024-08-27 14:16:08,1,329.74,苏州,男,23
U9646,任以冠,P28070,夹克,服装,875.17,2024-07-16 16:57:19,3,2625.51,杭州,男,30
U8365,倪超,P86127,芭比娃娃,玩具,415.72,2024-05-30 11:06:36,2,831.44,广州,女,29
U7726,华思腾,P73246,显示器,电子产品,3757.22,2024-06-24 22:21:48,2,7514.44,杭州,女,54
U5307,臧鹏,P37564,笔记本电脑,电子产品,6708.45,2024-05-16 01:58:28,1,6708.45,北京,女,52
U4154,龚毅良,P52776,乐高积木,玩具,597.28,2024-05-25 07:16:02,1,597.28,成都,女,47
U3378,许兴固,P13696,羽绒服,服装,352.07,2024-09-02 09:47:26,5,1760.35,杭州,男,40
U1832,裘山胜,P93709,漫画,书籍,792.44,2024-11-22 13:50:08,1,792.44,杭州,男,32
U7192,万朋建,P67411,山地车,运动,901.1,2024-04-04 03:24:40,2,1802.2,南京,男,47
U2775,谈谦河,P82362,洗发水,美妆,641.69,2024-01-16 00:07:58,5,3208.45,北京,女,21
U9156,彭星,P44887,夹克,服装,89.2,2024-09-14 07:05:34,2,178.4,广州,女,49
U3090,伏兴朋,P32885,笔记本电脑,电子产品,3488.48,2024-10-13 23:16:05,3,10465.44,苏州,女,65
U1680,穆林,P19262,洗发水,美妆,873.45,2024-11-23 07:17:05,4,3493.8,北京,男,37
U8684,田德盛,P97599,乐高积木,玩具,601.31,2024-09-09 23:42:22,2,1202.62,成都,女,64
U4564,雷鸣茂,P76104,变形金刚,玩具,398.72,2024-05-21 17:30:20,1,398.72,上海,女,63
U4558,沈风,P45383,跑步鞋,运动,938.89,2024-07-05 17:51:02,3,2816.67,重庆,女,47
U4330,童力峰,P28872,粉底液,美妆,491.47,2024-03-05 10:18:23,2,982.94,杭州,男,64
U7050,伏树有,P63068,沙发,家居,2312.66,2024-02-19 08:25:10,5,11563.3,天津,男,53
U2265,华心武,P48330,台灯,家居,4897.68,2024-02-15 07:28:40,5,24488.4,天津,男,59
U4907,钮厚祥,P86966,充电宝,电子产品,6603.31,2024-05-15 22:38:12,2,13206.62,北京,男,51
U4203,贝昌炎,P45406,牛仔裤,服装,390.63,2024-11-02 02:38:12,5,1953.15,武汉,女,60
U6565,倪善鹏,P91293,时尚杂志,书籍,725.96,2024-06-27 05:37:18,2,1451.92,杭州,男,64
U8978,路群厚,P33669,夹克,服装,917.56,2024-05-15 11:19:22,5,4587.8,武汉,女,23
U4475,姚涛健,P54939,粉底液,美妆,32.21,2024-07-16 20:22:24,2,64.42,重庆,男,55
U8842,李有鹏,P30108,牛仔裤,服装,546.02,2024-06-30 21:24:33,3,1638.06,杭州,女,34
U5436,罗钧固,P24425,充电宝,电子产品,3554.81,2024-10-18 05:12:05,5,17774.05,上海,女,38
U5983,孔克翰,P89076,瑜伽垫,运动,681.75,2024-11-13 15:31:51,2,1363.5,天津,男,56
U5355,单之坚,P93117,笔记本电脑,电子产品,6860.66,2024-08-04 01:55:51,1,6860.66,重庆,男,21
U1601,胡河,P71313,四件套,家居,2966.3,2024-06-06 14:48:43,1,2966.3,深圳,男,62
U8349,尹河,P57920,心理学,书籍,466.94,2024-10-20 16:26:02,1,466.94,北京,女,59
U6434,纪信震,P14356,台灯,家居,211.78,2024-12-26 17:44:28,5,1058.9,杭州,女,35
U3181,潘裕子,P49506,人物传记,书籍,182.95,2024-09-01 01:35:38,5,914.75,广州,女,26
U5257,姚良志,P56550,羽毛球拍,运动,357.53,2024-12-07 06:01:33,1,357.53,成都,女,36
U4076,费峰波,P21742,洗发水,美妆,249.12,2024-10-02 10:47:07,2,498.24,北京,男,43
U6248,裘东达,P76798,显示器,电子产品,1022.39,2024-10-23 08:13:38,4,4089.56,西安,女,36
U8569,宋绍,P10086,羽毛球拍,运动,813.6,2024-01-17 17:03:27,5,4068.0,武汉,女,23
U4085,臧庆民,P32930,沙发,家居,168.91,2024-01-15 21:14:03,5,844.55,成都,男,62
U9405,邱达,P11536,智能手表,电子产品,7313.91,2024-06-11 10:37:15,3,21941.73,西安,女,54
U7795,邓民健,P49677,办公椅,家居,3577.75,2024-10-10 19:02:06,2,7155.5,深圳,男,47
U3699,邹若彬,P12816,智能手机,电子产品,1380.83,2024-09-24 23:42:11,1,1380.83,杭州,女,33
U6581,章敬敬,P89966,变形金刚,玩具,645.61,2024-01-03 10:50:37,4,2582.44,重庆,男,45
U2200,蔡伦超,P62092,历史书籍,书籍,609.43,2024-03-26 09:10:54,2,1218.86,广州,女,26
U8074,卞胜,P35286,四件套,家居,4362.76,2024-04-01 02:32:54,4,17451.04,苏州,男,57
U5302,凤涛,P66412,篮球,运动,232.55,2024-07-21 04:01:21,3,697.65,杭州,男,27
U5863,邬进民,P43822,笔记本电脑,电子产品,4923.29,2024-10-04 21:33:49,4,19693.16,重庆,男,53
U5514,蓝绍,P18109,四件套,家居,1401.75,2024-04-07 10:37:09,3,4205.25,天津,女,26
U8124,冯子,P39368,漫画,书籍,774.74,2024-06-11 13:50:08,1,774.74,成都,女,32
U5155,毕乐宁,P46730,科幻小说,书籍,299.76,2024-05-06 12:42:39,2,599.52,重庆,女,24
U9878,邓楠泰,P70233,毛绒玩具,玩具,431.04,2024-07-12 10:56:34,4,1724.16,成都,女,29
U8128,华楠,P31759,心理学,书籍,321.23,2024-12-14 10:28:28,2,642.46,西安,女,21
U1535,邬浩天,P27242,连衣裙,服装,530.98,2024-04-10 04:22:57,4,2123.92,深圳,男,25
U3766,田会,P35428,智能手机,电子产品,6420.19,2024-04-04 02:38:17,1,6420.19,深圳,女,38
U4451,梁平,P36799,技术教材,书籍,911.38,2024-07-06 16:43:18,1,911.38,广州,女,27
U2149,宋岩谦,P25277,哑铃,运动,406.68,2024-06-16 05:50:34,4,1626.72,武汉,女,21
U5726,郝壮,P50391,连衣裙,服装,273.32,2024-12-05 06:42:17,3,819.96,杭州,男,37
U2946,吕鸣峰,P80345,化妆刷套装,美妆,30.06,2024-10-20 17:24:38,3,90.18,西安,女,54
U6536,席敬健,P36210,抱枕,家居,4293.84,2024-12-02 21:01:27,5,21469.2,杭州,女,41
U4094,夏群冠,P94607,时尚杂志,书籍,259.47,2024-07-07 02:39:59,5,1297.35,杭州,男,44
U9862,施朋,P61300,瑜伽垫,运动,296.73,2024-06-12 03:34:58,3,890.19,广州,男,52
U5153,郎振,P34703,粉底液,美妆,580.97,2024-10-28 10:19:49,5,2904.85,重庆,女,56
U8918,经宁琛,P85187,化妆刷套装,美妆,991.07,2024-04-29 08:32:28,1,991.07,武汉,男,59
U2390,庞政昌,P30661,卫衣,服装,382.81,2024-01-25 00:14:17,5,1914.05,成都,女,18
U5404,俞风,P25297,防晒霜,美妆,495.1,2024-09-17 16:58:39,4,1980.4,武汉,女,29
U8949,邬楠奇,P85418,防晒霜,美妆,710.6,2024-07-10 12:54:45,5,3553.0,重庆,男,58
U4713,秦冠,P91593,沙发,家居,1200.32,2024-05-31 21:55:46,1,1200.32,天津,女,60
U1200,汪启善,P52601,运动鞋,服装,52.09,2024-10-22 01:08:50,2,104.18,重庆,男,20
U4382,夏家,P20937,化妆刷套装,美妆,716.98,2024-11-23 11:56:58,4,2867.92,重庆,女,36
U4705,苗达盛,P63286,跑步鞋,运动,773.92,2024-01-22 13:32:12,1,773.92,重庆,女,35
U3247,卞宁海,P17957,变形金刚,玩具,932.9,2024-09-15 09:16:48,2,1865.8,杭州,女,49
U5998,韦飞贵,P69753,收纳盒,家居,4879.01,2024-02-11 00:57:22,4,19516.04,苏州,女,60
U2399,戴超星,P46503,防晒霜,美妆,506.62,2024-10-18 01:56:50,2,1013.24,苏州,女,64
U2404,卜中伟,P96305,防晒霜,美妆,848.96,2024-10-29 09:41:43,3,2546.88,重庆,女,21
U6363,郑之,P48481,蓝牙耳机,电子产品,2466.27,2024-11-23 06:04:22,5,12331.35,重庆,女,29
U7354,解有,P37339,T恤,服装,161.49,2024-12-12 00:21:53,2,322.98,重庆,男,18
U2089,梅世武,P27457,技术教材,书籍,319.63,2024-01-25 23:39:56,3,958.89,上海,男,26
U6354,蓝旭安,P36885,粉底液,美妆,733.04,2024-11-04 07:02:51,4,2932.16,苏州,女,59
U2440,宗刚新,P11559,口红,美妆,533.7,2024-12-07 02:46:08,2,1067.4,北京,男,26
U1455,吉仁,P59129,夹克,服装,625.54,2024-05-04 03:54:25,4,2502.16,北京,女,28
U6316,施勇涛,P71936,四件套,家居,4587.11,2024-09-16 01:51:03,4,18348.44,北京,女,42
U2728,贾诚炎,P30990,沙发,家居,3362.26,2024-12-13 09:18:02,4,13449.04,北京,男,46
U8259,宋启山,P47071,遥控车,玩具,678.47,2024-03-18 22:13:14,4,2713.88,北京,男,30
U4824,崔超,P87255,牛仔裤,服装,955.71,2024-04-17 19:12:11,2,1911.42,南京,男,44
U2699,杭思贵,P42384,智能手机,电子产品,7688.56,2024-08-20 23:13:34,1,7688.56,北京,男,20
U4980,卢胜健,P85274,香水,美妆,642.65,2024-06-15 20:25:08,5,3213.25,上海,男,29
U9009,元健平,P62977,乐高积木,玩具,733.97,2024-05-18 11:38:46,2,1467.94,重庆,女,19
U4010,任榕,P23220,毛绒玩具,玩具,632.63,2024-01-04 09:03:52,5,3163.15,北京,女,33
U8893,杨新绍,P27829,桌游,玩具,270.85,2024-02-13 10:32:53,5,1354.25,成都,女,24
U5024,赵致,P14468,芭比娃娃,玩具,212.21,2024-03-26 06:41:57,2,424.42,武汉,男,62
U2283,曹宁善,P91120,遥控车,玩具,984.36,2024-06-08 08:57:37,3,2953.08,苏州,女,28
U5810,刁才有,P38557,技术教材,书籍,198.28,2024-12-12 03:14:16,1,198.28,苏州,男,39
U7171,倪东裕,P28828,跳绳,运动,310.42,2024-02-24 16:51:07,4,1241.68,西安,男,38
U4665,江达钧,P32072,防晒霜,美妆,159.43,2024-09-23 05:25:46,4,637.72,西安,男,48
U6771,房宁海,P68616,笔记本电脑,电子产品,4004.73,2024-06-25 21:30:04,5,20023.65,成都,女,57
U4798,娄俊勇,P54526,牛仔裤,服装,268.65,2024-06-19 16:25:24,3,805.95,苏州,女,20
U4589,郁学松,P34123,遥控车,玩具,585.7,2024-08-01 04:54:27,5,2928.5,武汉,女,51
U7655,时庆群,P75550,科幻小说,书籍,311.04,2024-06-14 08:32:00,1,311.04,西安,女,40
U7038,任杰,P99219,台灯,家居,500.39,2024-09-17 17:42:00,3,1501.17,杭州,女,51
U8984,蔡松子,P24025,牛仔裤,服装,168.21,2024-01-30 12:22:23,2,336.42,深圳,女,34
U9943,尤承飞,P78093,面霜,美妆,800.61,2024-09-14 20:02:36,2,1601.22,上海,男,29
U4730,袁家星,P93481,山地车,运动,285.14,2024-09-11 00:31:28,2,570.28,成都,男,65
U1844,韩豪晨,P53473,笔记本电脑,电子产品,9517.63,2024-11-28 07:46:27,1,9517.63,苏州,男,24
U8942,戴贵,P94487,洗发水,美妆,708.08,2024-11-04 16:35:41,1,708.08,南京,男,32
U6159,奚承力,P25234,哑铃,运动,882.45,2024-10-03 07:04:27,1,882.45,杭州,女,64
U9481,奚克伟,P96598,毛绒玩具,玩具,758.82,2024-08-20 21:17:02,4,3035.28,苏州,女,32
U4032,颜豪朗,P35194,洗发水,美妆,196.65,2024-06-10 08:46:02,5,983.25,广州,女,44
U5992,钟军政,P92879,技术教材,书籍,944.4,2024-12-01 15:09:53,2,1888.8,武汉,女,38
U8845,万保振,P18890,跳绳,运动,311.51,2024-03-15 15:01:42,2,623.02,北京,女,63
U7371,狄岩,P99997,遥控车,玩具,251.62,2024-04-04 14:25:42,1,251.62,广州,女,22
U4282,柏士,P81440,粉底液,美妆,466.36,2024-06-28 12:56:57,3,1399.08,武汉,女,24
U7684,冯义,P70514,防晒霜,美妆,499.58,2024-03-17 14:43:08,5,2497.9,南京,女,31
U6065,柯启,P68678,跑步鞋,运动,923.82,2024-11-14 21:10:12,4,3695.28,天津,男,51
U2341,华才厚,P14872,时尚杂志,书籍,314.61,2024-01-01 09:40:54,1,314.61,成都,女,55
U7349,石宏富,P90223,山地车,运动,676.43,2024-06-03 03:03:27,4,2705.72,杭州,男,26
U6202,何健士,P64920,变形金刚,玩具,631.01,2024-09-24 16:52:40,4,2524.04,深圳,女,40
U6514,蒋友,P65896,桌游,玩具,38.47,2024-11-20 00:28:06,4,153.88,北京,男,24
U9708,萧健元,P69763,化妆刷套装,美妆,166.02,2024-11-23 10:07:03,1,166.02,天津,女,39
U2472,祝利朋,P86622,跳绳,运动,567.05,2024-05-28 05:42:53,5,2835.25,苏州,女,54
U3711,干发裕,P48309,山地车,运动,603.62,2024-07-20 18:46:46,4,2414.48,西安,男,52
U4190,潘飞,P71283,哑铃,运动,352.98,2024-02-29 02:35:14,4,1411.92,武汉,女,52
U7227,邓震友,P60774,心理学,书籍,723.12,2024-12-22 13:02:15,3,2169.36,北京,男,38
U6957,解承,P44365,跑步鞋,运动,638.18,2024-04-06 05:02:29,1,638.18,成都,女,21
U3718,闵福东,P33213,跑步鞋,运动,786.32,2024-05-11 03:34:12,4,3145.28,杭州,男,59
U3571,霍亮,P86314,办公椅,家居,3532.86,2024-09-24 07:47:54,1,3532.86,重庆,男,34
U9420,缪伯弘,P15008,口红,美妆,664.06,2024-01-03 08:50:58,1,664.06,成都,女,65
U5087,周松新,P44122,桌游,玩具,943.14,2024-05-07 07:11:47,2,1886.28,广州,女,41
U7614,谈全,P29059,芭比娃娃,玩具,190.02,2024-12-08 19:18:48,3,570.06,西安,女,38
U2910,裘辉,P18345,连衣裙,服装,119.93,2024-12-09 19:21:15,3,359.79,北京,女,62
U3468,唐昌,P50952,T恤,服装,983.01,2024-09-16 23:49:21,1,983.01,北京,男,19
U3535,管翔,P87992,四件套,家居,245.33,2024-08-04 18:19:20,3,735.99,深圳,男,22
U8109,臧志浩,P87152,拼图,玩具,61.07,2024-11-24 03:38:59,4,244.28,西安,男,63
U1306,许伯,P17880,桌游,玩具,758.38,2024-07-25 08:56:31,4,3033.52,广州,女,45
U9830,舒启盛,P54524,台灯,家居,2227.55,2024-10-24 06:21:01,3,6682.65,成都,女,44
U6934,杨茂哲,P36649,哑铃,运动,225.62,2024-03-12 07:31:02,5,1128.1,深圳,男,28
U4041,齐博永,P56204,连衣裙,服装,586.82,2024-07-19 13:34:59,1,586.82,西安,男,40
U2073,明富泰,P71887,面霜,美妆,172.61,2024-09-20 01:35:09,5,863.05,天津,男,54
U9424,齐志裕,P53382,显示器,电子产品,5981.62,2024-06-18 07:09:47,1,5981.62,成都,男,25
U6764,樊毅政,P44487,山地车,运动,155.6,2024-01-06 23:38:39,4,622.4,西安,女,30
U6420,贺政哲,P61459,篮球,运动,512.01,2024-01-29 20:10:23,1,512.01,成都,女,53
U9423,常广友,P30716,T恤,服装,713.17,2024-04-02 19:43:42,4,2852.68,重庆,女,20
U4884,钮翰,P64669,夹克,服装,313.9,2024-06-06 13:37:32,2,627.8,南京,女,36
U2759,孙行有,P18977,显示器,电子产品,6918.13,2024-10-12 03:11:27,4,27672.52,天津,男,63
U3396,石伯,P64564,桌游,玩具,197.39,2024-08-20 08:31:09,4,789.56,苏州,男,45
U7240,贺梁,P56473,羽毛球拍,运动,719.43,2024-03-24 04:04:24,1,719.43,深圳,女,21
U3888,常信,P61104,夹克,服装,301.15,2024-01-31 11:00:16,5,1505.75,南京,女,51
U8327,梁博民,P40232,连衣裙,服装,226.5,2024-06-20 00:07:09,4,906.0,苏州,女,29
U9359,杨建宏,P72715,跳绳,运动,782.98,2024-02-27 15:24:15,4,3131.92,南京,男,22
U3496,房宁晨,P15270,洗发水,美妆,480.49,2024-11-21 03:10:37,1,480.49,广州,女,62
U4870,宋楠富,P77000,跳绳,运动,767.33,2024-05-20 21:31:35,2,1534.66,杭州,女,22
U4506,贺友壮,P81194,香水,美妆,679.24,2024-04-29 16:24:31,2,1358.48,苏州,女,64
U5525,喻学振,P90594,桌游,玩具,735.63,2024-12-27 01:12:01,5,3678.15,深圳,男,28
U5318,洪俊绍,P56508,科幻小说,书籍,689.75,2024-09-28 21:08:32,5,3448.75,南京,女,58
U6720,庞政,P49512,漫画,书籍,193.0,2024-11-07 20:03:48,5,965.0,成都,女,42
U2914,成武,P10231,漫画,书籍,546.92,2024-08-10 08:12:59,2,1093.84,杭州,女,44
U8121,马伯谦,P61412,蓝牙耳机,电子产品,4746.95,2024-04-29 04:11:41,3,14240.85,深圳,女,37
U1044,葛强,P88999,卫衣,服装,601.7,2024-09-11 00:03:33,5,3008.5,成都,男,44
U8061,危奇,P51327,收纳盒,家居,1396.91,2024-11-20 01:46:11,2,2793.82,上海,男,29
U4305,水涛,P21593,毛绒玩具,玩具,171.63,2024-01-19 09:13:31,2,343.26,西安,男,32
U4549,邵亨晨,P50691,心理学,书籍,893.75,2024-11-07 14:46:57,5,4468.75,南京,女,64
U2011,刁利士,P72627,连衣裙,服装,601.37,2024-07-25 07:15:04,5,3006.85,深圳,女,58
U2490,郑梁海,P85929,办公椅,家居,3807.83,2024-01-14 22:19:39,2,7615.66,上海,女,32
U1126,郭军,P98786,夹克,服装,471.98,2024-09-13 11:21:29,1,471.98,北京,女,40
U7353,薛中,P22916,羽毛球拍,运动,476.84,2024-06-07 19:48:23,2,953.68,杭州,女,55
U6145,缪民,P66514,防晒霜,美妆,729.37,2024-03-19 03:38:37,2,1458.74,北京,男,64
U9353,汪清振,P96983,香水,美妆,834.69,2024-09-25 16:09:21,4,3338.76,北京,女,51
U3941,杭顺轮,P43856,人物传记,书籍,631.02,2024-11-15 05:07:29,5,3155.1,广州,男,57
U9588,凤世安,P13532,瑜伽垫,运动,406.35,2024-09-08 15:54:42,2,812.7,苏州,女,35
U8128,伏邦,P32176,羽毛球拍,运动,158.23,2024-01-25 16:58:15,3,474.69,广州,女,59
U9297,宣功茂,P40455,蓝牙耳机,电子产品,3343.75,2024-10-24 07:40:51,1,3343.75,成都,男,62
U3380,柏毅翔,P99783,科幻小说,书籍,285.83,2024-12-29 16:53:53,2,571.66,深圳,男,41
U9408,昌鸣广,P89040,办公椅,家居,2919.56,2024-03-27 12:18:59,1,2919.56,重庆,女,38
U3124,干东强,P93361,跑步鞋,运动,841.47,2024-04-28 11:30:46,2,1682.94,上海,男,40
U9026,方克伟,P40968,化妆刷套装,美妆,207.53,2024-08-04 06:49:36,5,1037.65,广州,女,23
U4814,皮谦力,P25492,羽绒服,服装,286.75,2024-04-11 04:10:28,3,860.25,西安,男,58
U2810,洪庆,P73897,乐高积木,玩具,360.88,2024-10-10 13:13:53,5,1804.4,杭州,男,42
U9800,童善,P70454,羽毛球拍,运动,284.81,2024-05-15 19:55:41,5,1424.05,苏州,女,60
U9259,狄冠胜,P49502,抱枕,家居,1309.58,2024-09-26 04:24:24,5,6547.9,深圳,女,38
U5607,蔡强兴,P51109,桌游,玩具,322.08,2024-02-25 23:17:07,3,966.24,深圳,男,61
U6866,卜亨,P17951,心理学,书籍,197.43,2024-06-04 18:03:34,5,987.15,苏州,女,62
U6432,房承,P21663,牛仔裤,服装,964.69,2024-08-02 11:39:12,1,964.69,杭州,女,47
U1271,冯士钧,P79347,口红,美妆,26.89,2024-02-20 13:11:22,5,134.45,广州,女,52
